NULL    0	0	0	0	0
H	1	0	0	0	13.99
He	2	0	0	0	0.8
Li	3	1.519	0.98	1	453.5
Be	4	1.128	1.57	2	1560.0
B	5	0.82	2.04	3	2349.0
C	6	0.773	2.55	4	3823.0
N	7	0.75	3.04	5	63.0
O	8	0.73	3.44	6	54.2
F	9	0	0	0	53.4
Ne	10	0	0	0	24.4
Na	11	1.857	0.93	1	370.794
Mg	12	1.601	1.31	2	923.0
Al	13	1.432	1.61	3	933.323
Si	14	1.153	1.9	4	1687.0
P	15	1.06	2.19	5	317.15
S	16	1.02	2.58	6	388.2
Cl	17	0	0	0	171.5
Ar	18	0	0	0	83.6
K	19	2.31	0.82	1	336.5
Ca	20	1.976	1	2	1115.0
Sc	21	1.641	1.36	3	1814.0
Ti	22	1.462	1.54	4	1943.0
V	23	1.316	1.63	5	2183.0
Cr	24	1.28	1.66	6	2180.0
Mn	25	1.26	1.55	7	1519.0
Fe	26	1.27	1.83	8	1811.0
Co	27	1.25	1.88	9	1768.0
Ni	28	1.25	1.91	10	1728.0
Cu	29	1.278	1.9	11	1357.62
Zn	30	1.395	1.65	12	692.527
Ga	31	1.392	1.81	3	302.7646
Ge	32	1.24	2.01	4	1211.2
As	33	0	0	0	1089.8
Se	34	1.4	2.55	6	493.0
Br	35	0	0	0	265.8
Kr	36	0	0	0	115.6
Rb	37	2.44	0.82	1	312.3
Sr	38	2.152	0.95	2	1050.0
Y	39	1.802	1.22	3	1795.0
Zr	40	1.603	1.33	4	2127.0
Nb	41	1.429	1.6	5	2750.0
Mo	42	1.363	2.16	6	2895.0
Tc	43	1.36	1.9	7	2430.0
Ru	44	1.338	2.2	8	2606.0
Rh	45	1.345	2.28	9	2236.0
Pd	46	1.375	2.2	10	1827.8
Ag	47	1.445	1.93	11	1234.78
Cd	48	1.568	1.69	12	594.069
In	49	1.659	1.78	3	429.6
Sn	50	1.62	1.96	4	504.928
Sb	51	0	0	0	903.628
Te	52	1.452	2.1	6	722.5
I	53	0	0	0	386.7
Xe	54	0	0	0	161.2
Cs	55	2.65	0.79	1	301.5	
Ba	56	2.176	0.89	2	1000.0
La	57	1.879	1.1	3	1193.0
Ce	58	1.825	1.12	3	1072.0
Pr	59	1.65	1.13	3	1204.0
Nd	60	1.64	1.14	3	1289.0
Pm	61	1.63	1.13	3	1315.0
Sm	62	1.81	1.17	3	1345.0
Eu	63	1.984	1.2	3	1095.0
Gd	64	1.801	1.2	3	1586.0
Tb	65	1.781	1.1	3	1632.0
Dy	66	1.774	1.22	3	1685.0
Ho	67	1.766	1.23	3	1745.0
Er	68	1.756	1.24	3	1802.0
Tm	69	1.56	1.25	3	1818.0
Yb	70	1.7	1.1	3	1097.0
Lu	71	1.735	1.27	3	1936.0
Hf	72	1.578	1.3	4	2506.0
Ta	73	1.43	1.5	5	3290.0
W	74	1.367	2.36	6	3687.0
Re	75	1.375	1.9	7	3458.0
Os	76	1.352	2.2	8	3306.0
Ir	77	1.357	2.2	9	2719.0
Pt	78	1.387	2.28	10	2041.2
Au	79	1.442	2.54	11	1337.18
Hg	80	0	0	0	234.171
Tl	81	1.716	1.62	3	577.0
Pb	82	1.75	2.33	4	600.462
Bi	83	0	0	0	544.406
Po	84	1.53	2	6	527.0
At	85	0	0	0	575.0
Rn	86	0	0	0	201.85
Fr	87	0	0	0	300.0
Ra	88	0	0	0	969.0
Ac	89	0	0	0	1323.0
Th	90	1.8	1.3	3	2023.0
Pa	91	1.61	1.5	3	1841.0
U	92	1.42	1.38	3	1408.0
